Episode,Reward,Latency_s,Energy_J,Completion_Rate,Reward_MA10,Latency_MA10,Energy_MA10,Completion_Rate_MA10
198,-4693.1988673244105,0,0,1.0,-1167.576304425019,0.0,0.0,1.0
199,-878.0940955040709,0,0,1.0,-991.7462682188764,0.0,0.0,1.0
200,336.0058958022017,0,0,1.0,-935.6241951453063,0.0,0.0,1.0
201,-2684.535819166379,0,0,1.0,-859.2149733435126,0.0,0.0,1.0
202,-1763.3303714168912,0,0,1.0,-1054.2721836456458,0.0,0.0,1.0
203,908.0985508773454,0,0,1.0,-884.9234590373638,0.0,0.0,1.0
204,-182.8414442300362,0,0,1.0,-553.8422354847476,0.0,0.0,1.0
205,-1235.5827944676325,0,0,1.0,-826.3773606095885,0.0,0.0,1.0
206,-1061.3511311012444,0,0,1.0,-1009.7159175087605,0.0,0.0,1.0
207,-1367.4808386010725,0,0,1.0,-1262.2310915132189,0.0,0.0,1.0
208,-2064.6785741256003,0,0,1.0,-999.379062193338,0.0,0.0,1.0
209,-318.3900490373932,0,0,1.0,-943.4086575466702,0.0,0.0,1.0
210,-3808.746391995393,0,0,1.0,-1357.8838863264298,0.0,0.0,1.0
211,-136.554790293897,0,0,1.0,-1103.0857834391816,0.0,0.0,1.0
212,-2197.0245874030115,0,0,1.0,-1146.4552050377936,0.0,0.0,1.0
213,-1275.4612713754182,0,0,1.0,-1364.8111872630698,0.0,0.0,1.0
214,-997.8449780926177,0,0,1.0,-1446.311540649328,0.0,0.0,1.0
215,-1137.3865740873964,0,0,1.0,-1436.4919186113045,0.0,0.0,1.0
216,-1211.3979573595218,0,0,1.0,-1451.4966012371322,0.0,0.0,1.0
217,-1312.960382280438,0,0,1.0,-1446.0445556050688,0.0,0.0,1.0
218,-361.57950483128775,0,0,1.0,-1275.7346486756376,0.0,0.0,1.0
219,-377.0913538298874,0,0,1.0,-1281.6047791548872,0.0,0.0,1.0
220,-1691.8679564902407,0,0,1.0,-1069.9169356043717,0.0,0.0,1.0
221,35.860069534985314,0,0,1.0,-1052.6754496214835,0.0,0.0,1.0
