Episode,Reward,Latency_s,Energy_J,Completion_Rate,Reward_MA10,Latency_MA10,Energy_MA10,Completion_Rate_MA10
176,-8083.916628941666,0,0,1.0,-8685.324347767362,0.0,0.0,1.0
177,-12190.112995574342,0,0,1.0,-8997.751872597324,0.0,0.0,1.0
178,-9306.042889423788,0,0,1.0,-8898.299385559478,0.0,0.0,1.0
179,-6520.407238579677,0,0,1.0,-8837.333213635142,0.0,0.0,1.0
180,-9262.781931638652,0,0,1.0,-8650.988085921741,0.0,0.0,1.0
181,-11164.04563333935,0,0,1.0,-8760.669281194141,0.0,0.0,1.0
182,-11852.4332430303,0,0,1.0,-9210.51343245861,0.0,0.0,1.0
183,-7726.0343216496185,0,0,1.0,-9129.098393016899,0.0,0.0,1.0
184,-6667.334824304276,0,0,1.0,-9155.497049463806,0.0,0.0,1.0
185,-9255.504901498656,0,0,1.0,-9202.861460798033,0.0,0.0,1.0
186,-8353.542268375506,0,0,1.0,-9229.824024741416,0.0,0.0,1.0
187,-10453.573331064865,0,0,1.0,-9056.17005829047,0.0,0.0,1.0
188,-7641.903226322195,0,0,1.0,-8889.756091980309,0.0,0.0,1.0
189,-10532.349301092816,0,0,1.0,-9290.950298231623,0.0,0.0,1.0
190,-11668.489153319073,0,0,1.0,-9531.521020399665,0.0,0.0,1.0
191,-11553.578801051937,0,0,1.0,-9570.474337170923,0.0,0.0,1.0
192,-10431.979770706663,0,0,1.0,-9428.428989938559,0.0,0.0,1.0
193,-9181.605476723675,0,0,1.0,-9573.986105445967,0.0,0.0,1.0
194,-7675.187789881153,0,0,1.0,-9674.771402003655,0.0,0.0,1.0
195,-9712.339748984054,0,0,1.0,-9720.454886752193,0.0,0.0,1.0
196,-10559.35159394056,0,0,1.0,-9941.0358193087,0.0,0.0,1.0
197,-8971.190636966649,0,0,1.0,-9792.797549898878,0.0,0.0,1.0
198,-10193.639633093646,0,0,1.0,-10047.971190576023,0.0,0.0,1.0
199,-11129.845702164914,0,0,1.0,-10107.72083068323,0.0,0.0,1.0
